,,,,,Fine Particulate Matter (PM2.5) : Summarize
Topic: Environment
Subtopic: Air Quality
Indicator Name: Fine Particulate Matter (PM2.5)
Indicator Description: 

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),Mean (mcg per cubic meter),Notes 10th Percentile,Notes 90th Percentile,Notes Mean,
Annual Average 2017,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),6.7,8.7,7.5,,,,
Annual Average 2018,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),6.4,8.3,7.2,,,,
Annual Average 2010,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),10.2,14.0,11.6,,,,
Annual Average 2011,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),10.8,13.8,11.9,,,,
Annual Average 2012,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),9.6,13.1,10.9,,,,
Annual Average 2013,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),9.2,13.0,10.7,,,,
Annual Average 2014,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),9.4,13.1,10.8,,,,
Annual Average 2015,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),9.2,11.7,10.2,,,,
Annual Average 2016,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),7.7,10.7,9.0,,,,
Annual Average 2017,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),7.7,10.3,8.7,,,,
Annual Average 2018,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),7.2,10.3,8.5,,,,
Annual Average 2010,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),8.4,10.1,9.2,,,,
Annual Average 2011,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),8.9,10.7,9.8,,,,
Annual Average 2012,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.7,9.5,8.6,,,,
Annual Average 2013,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.7,9.2,8.4,,,,
Annual Average 2014,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.8,9.5,8.6,,,,
Annual Average 2015,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),7.6,9.3,8.3,,,,
Annual Average 2016,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),6.3,8.1,7.2,,,,
Annual Average 2017,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),6.5,8.0,7.2,,,,
Annual Average 2018,Borough,Queens, Queens,4,Fine Particulate Matter (PM2.5),6.2,7.6,6.8,,,,
Annual Average 2010,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),8.3,9.4,8.8,,,,
Annual Average 2011,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),9.0,10.0,9.4,,,,
Annual Average 2012,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.9,8.9,8.3,,,,
Annual Average 2013,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.6,8.6,8.0,,,,
Annual Average 2014,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),8.0,9.0,8.4,,,,
Annual Average 2015,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.0,8.5,7.7,,,,
Annual Average 2016,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),6.3,7.5,6.8,,,,
Annual Average 2017,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),6.4,7.4,6.8,,,,
Annual Average 2018,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),6.0,6.9,6.4,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),7.9,8.8,8.2,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),6.5,7.6,6.9,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),6.7,7.6,7.0,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),6.4,6.7,6.5,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),8.5,9.3,8.9,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),7.6,8.4,7.9,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),7.2,7.9,7.5,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),7.0,7.6,7.3,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),7.8,8.8,8.1,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),6.8,7.7,7.1,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),6.8,7.6,7.1,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),6.5,6.9,6.7,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8.1,8.8,8.4,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.1,7.8,7.5,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.0,7.5,7.3,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),6.8,7.2,7.0,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.5,9.1,8.1,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),6.5,8.2,7.1,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),6.5,7.9,7.0,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),6.2,7.5,6.7,,,,
Annual Average 2015,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),9.2,9.6,9.4,,,,
Annual Average 2016,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),7.7,8.2,8.0,,,,
Annual Average 2017,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),7.7,8.2,7.9,,,,
Annual Average 2018,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),7.3,7.9,7.5,,,,
Annual Average 2015,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Fine Particulate Matter (PM2.5),10.0,12.4,11.1,,,,
Annual Average 2016,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Fine Particulate Matter (PM2.5),8.8,11.5,10.1,,,,
Annual Average 2017,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Fine Particulate Matter (PM2.5),8.4,11.1,9.6,,,,
Annual Average 2018,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Fine Particulate Matter (PM2.5),8.1,11.7,9.6,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),7.4,8.1,7.7,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),6.4,7.1,6.8,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),6.5,7.1,6.8,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Fine Particulate Matter (PM2.5),6.3,6.8,6.5,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),9.2,10.8,9.9,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),8.1,9.8,8.9,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),7.7,9.2,8.3,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Fine Particulate Matter (PM2.5),7.3,8.5,7.8,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),8.2,8.9,8.6,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),7.3,8.0,7.6,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),7.1,7.7,7.4,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Fine Particulate Matter (PM2.5),6.8,7.3,7.0,,,,
Annual Average 2015,Neighborhood (UHF 34),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),9.2,9.8,9.5,,,,
Annual Average 2016,Neighborhood (UHF 34),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),7.9,8.5,8.2,,,,
Annual Average 2017,Neighborhood (UHF 34),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),7.8,8.4,8.1,,,,
Annual Average 2018,Neighborhood (UHF 34),Manhattan, East Harlem,303,Fine Particulate Matter (PM2.5),7.1,7.8,7.4,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),8.0,9.8,8.7,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.1,8.9,7.8,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),6.9,8.6,7.5,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),6.6,7.5,7.1,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),7.9,9.3,8.4,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),6.7,8.2,7.2,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),6.8,8.1,7.3,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),6.5,7.9,6.9,,,,
Annual Average 2015,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),8.8,9.5,9.1,,,,
Annual Average 2016,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),7.2,8.0,7.6,,,,
Annual Average 2017,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),7.2,7.9,7.5,,,,
Annual Average 2018,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Fine Particulate Matter (PM2.5),6.9,7.6,7.2,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),9.9,11.2,10.5,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),8.8,10.2,9.5,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),8.4,9.7,9.0,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Fine Particulate Matter (PM2.5),8.0,9.6,8.7,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),7.8,8.7,8.2,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),6.5,7.5,7.0,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),6.7,7.5,7.1,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, Jamaica,408,Fine Particulate Matter (PM2.5),6.4,7.1,6.7,,,,
Annual Average 2015,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),8.8,9.8,9.2,,,,
Annual Average 2016,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),7.1,8.2,7.5,,,,
Annual Average 2017,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),7.0,8.1,7.4,,,,
Annual Average 2018,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Fine Particulate Matter (PM2.5),6.6,7.5,7.0,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Fine Particulate Matter (PM2.5),8.8,11.4,9.8,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Fine Particulate Matter (PM2.5),7.6,10.3,8.7,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Fine Particulate Matter (PM2.5),7.5,9.9,8.4,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Fine Particulate Matter (PM2.5),7.2,9.7,8.2,,,,
Annual Average 2015,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Fine Particulate Matter (PM2.5),8.7,10.0,9.1,,,,
Annual Average 2016,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Fine Particulate Matter (PM2.5),7.1,8.5,7.5,,,,
Annual Average 2017,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Fine Particulate Matter (PM2.5),7.1,8.3,7.5,,,,
Annual Average 2018,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Fine Particulate Matter (PM2.5),6.8,7.3,7.0,,,,
Annual Average 2015,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Fine Particulate Matter (PM2.5),7.4,8.5,8.0,,,,
Annual Average 2016,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Fine Particulate Matter (PM2.5),6.4,7.5,7.0,,,,
Annual Average 2017,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Fine Particulate Matter (PM2.5),6.5,7.4,6.9,,,,
Annual Average 2018,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Fine Particulate Matter (PM2.5),6.2,6.9,6.5,,,,
Annual Average 2015,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Fine Particulate Matter (PM2.5),8.2,9.7,8.9,,,,
Annual Average 2016,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Fine Particulate Matter (PM2.5),6.8,8.3,7.5,,,,
Annual Average 2017,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Fine Particulate Matter (PM2.5),6.8,8.3,7.5,,,,
Annual Average 2018,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Fine Particulate Matter (PM2.5),6.5,7.5,7.0,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Fine Particulate Matter (PM2.5),8.0,9.1,8.5,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Fine Particulate Matter (PM2.5),7.0,8.1,7.6,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Fine Particulate Matter (PM2.5),6.8,7.9,7.3,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Fine Particulate Matter (PM2.5),6.6,7.3,7.0,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, Rockaways,410,Fine Particulate Matter (PM2.5),7.0,7.3,7.2,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, Rockaways,410,Fine Particulate Matter (PM2.5),5.9,6.1,6.0,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, Rockaways,410,Fine Particulate Matter (PM2.5),6.2,6.4,6.3,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, Rockaways,410,Fine Particulate Matter (PM2.5),5.9,6.2,6.1,,,,
Annual Average 2015,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Fine Particulate Matter (PM2.5),8.9,10.6,9.6,,,,
Annual Average 2016,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Fine Particulate Matter (PM2.5),7.5,9.1,8.2,,,,
Annual Average 2017,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Fine Particulate Matter (PM2.5),7.5,9.1,8.2,,,,
Annual Average 2018,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Fine Particulate Matter (PM2.5),7.1,8.6,7.7,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, Southeast Queens,409,Fine Particulate Matter (PM2.5),7.6,8.2,7.9,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, Southeast Queens,409,Fine Particulate Matter (PM2.5),6.2,6.8,6.5,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, Southeast Queens,409,Fine Particulate Matter (PM2.5),6.5,7.0,6.8,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, Southeast Queens,409,Fine Particulate Matter (PM2.5),6.2,6.6,6.4,,,,
Annual Average 2015,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Fine Particulate Matter (PM2.5),7.0,8.4,7.6,,,,
Annual Average 2016,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Fine Particulate Matter (PM2.5),6.3,7.5,6.8,,,,
Annual Average 2017,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Fine Particulate Matter (PM2.5),6.4,7.4,6.8,,,,
Annual Average 2018,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Fine Particulate Matter (PM2.5),6.0,6.8,6.3,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, Southwest Queens,407,Fine Particulate Matter (PM2.5),7.6,8.6,8.1,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, Southwest Queens,407,Fine Particulate Matter (PM2.5),6.6,7.5,7.0,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, Southwest Queens,407,Fine Particulate Matter (PM2.5),6.5,7.4,6.9,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, Southwest Queens,407,Fine Particulate Matter (PM2.5),6.3,6.9,6.6,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Fine Particulate Matter (PM2.5),8.5,10.6,9.4,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Fine Particulate Matter (PM2.5),7.4,9.6,8.4,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Fine Particulate Matter (PM2.5),7.1,9.2,8.1,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Fine Particulate Matter (PM2.5),6.8,8.7,7.7,,,,
Annual Average 2015,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Fine Particulate Matter (PM2.5),9.2,11.1,10.2,,,,
Annual Average 2016,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Fine Particulate Matter (PM2.5),8.1,10.0,9.2,,,,
Annual Average 2017,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Fine Particulate Matter (PM2.5),7.7,9.5,8.7,,,,
Annual Average 2018,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Fine Particulate Matter (PM2.5),7.3,9.4,8.4,,,,
Annual Average 2015,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Fine Particulate Matter (PM2.5),9.7,12.3,10.9,,,,
Annual Average 2016,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Fine Particulate Matter (PM2.5),8.5,11.4,9.9,,,,
Annual Average 2017,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Fine Particulate Matter (PM2.5),8.3,11.0,9.5,,,,
Annual Average 2018,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Fine Particulate Matter (PM2.5),8.1,11.3,9.4,,,,
Annual Average 2015,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Fine Particulate Matter (PM2.5),9.5,10.1,9.8,,,,
Annual Average 2016,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Fine Particulate Matter (PM2.5),8.2,8.8,8.5,,,,
Annual Average 2017,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Fine Particulate Matter (PM2.5),8.1,8.6,8.3,,,,
Annual Average 2018,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Fine Particulate Matter (PM2.5),7.9,8.4,8.2,,,,
Annual Average 2015,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Fine Particulate Matter (PM2.5),8.9,10.0,9.4,,,,
Annual Average 2016,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Fine Particulate Matter (PM2.5),7.3,8.5,7.8,,,,
Annual Average 2017,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Fine Particulate Matter (PM2.5),7.3,8.4,7.8,,,,
Annual Average 2018,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Fine Particulate Matter (PM2.5),6.9,7.8,7.3,,,,
Annual Average 2015,Neighborhood (UHF 34),Queens, West Queens,402,Fine Particulate Matter (PM2.5),8.2,11.2,9.2,,,,
Annual Average 2016,Neighborhood (UHF 34),Queens, West Queens,402,Fine Particulate Matter (PM2.5),7.1,10.3,8.1,,,,
Annual Average 2017,Neighborhood (UHF 34),Queens, West Queens,402,Fine Particulate Matter (PM2.5),7.1,9.8,7.9,,,,
Annual Average 2018,Neighborhood (UHF 34),Queens, West Queens,402,Fine Particulate Matter (PM2.5),6.7,9.2,7.6,,,,
Annual Average 2015,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Fine Particulate Matter (PM2.5),8.5,11.4,9.6,,,,
Annual Average 2016,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Fine Particulate Matter (PM2.5),7.6,10.5,8.7,,,,
Annual Average 2017,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Fine Particulate Matter (PM2.5),7.2,10.0,8.2,,,,
Annual Average 2018,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Fine Particulate Matter (PM2.5),7.0,10.1,8.1,,,,
Annual Average 2015,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Fine Particulate Matter (PM2.5),7.9,9.0,8.3,,,,
Annual Average 2016,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Fine Particulate Matter (PM2.5),6.5,7.7,6.9,,,,
Annual Average 2017,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Fine Particulate Matter (PM2.5),6.7,7.8,7.0,,,,
Annual Average 2018,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Fine Particulate Matter (PM2.5),6.4,6.6,6.5,,,,
Annual Average 2015,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),8.5,9.3,8.9,,,,
Annual Average 2016,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),7.6,8.4,7.9,,,,
